Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-11-29 01:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,01:00:00
2024-11-29 02:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,02:00:00
2024-11-29 03:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,03:00:00
2024-11-29 04:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,04:00:00
2024-11-29 05:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,05:00:00
2024-11-29 06:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,06:00:00
2024-11-29 07:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,07:00:00
2024-11-29 08:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,08:00:00
2024-11-29 09:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,09:00:00
2024-11-29 10:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,10:00:00
2024-11-29 11:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,11:00:00
2024-11-29 12:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,12:00:00
2024-11-29 13:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,13:00:00
2024-11-29 14:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,14:00:00
2024-11-29 15:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,15:00:00
2024-11-29 16:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,16:00:00
2024-11-29 17:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,17:00:00
2024-11-29 18:00:00,EMPACAR S.A.,0.0,0.312,21:00,2024-11-29,18:00:00
2024-11-29 19:00:00,EMPACAR S.A.,0.141,0.312,21:00,2024-11-29,19:00:00
2024-11-29 20:00:00,EMPACAR S.A.,0.2,0.312,21:00,2024-11-29,20:00:00
2024-11-29 21:00:00,EMPACAR S.A.,0.234,0.312,21:00,2024-11-29,21:00:00
2024-11-29 22:00:00,EMPACAR S.A.,0.225,0.312,21:00,2024-11-29,22:00:00
2024-11-29 23:00:00,EMPACAR S.A.,0.183,0.312,21:00,2024-11-29,23:00:00
2024-11-30 00:00:00,EMPACAR S.A.,0.203,0.312,21:00,2024-11-30,00:00:00
2024-11-30 01:00:00,EMPACAR S.A.,0.555,0.973,18:30,2024-11-30,01:00:00
2024-11-30 02:00:00,EMPACAR S.A.,0.669,0.973,18:30,2024-11-30,02:00:00
2024-11-30 03:00:00,EMPACAR S.A.,0.59,0.973,18:30,2024-11-30,03:00:00
2024-11-30 04:00:00,EMPACAR S.A.,0.723,0.973,18:30,2024-11-30,04:00:00
2024-11-30 05:00:00,EMPACAR S.A.,0.77,0.973,18:30,2024-11-30,05:00:00
2024-11-30 06:00:00,EMPACAR S.A.,0.713,0.973,18:30,2024-11-30,06:00:00
2024-11-30 07:00:00,EMPACAR S.A.,0.809,0.973,18:30,2024-11-30,07:00:00
2024-11-30 08:00:00,EMPACAR S.A.,0.883,0.973,18:30,2024-11-30,08:00:00
2024-11-30 09:00:00,EMPACAR S.A.,0.881,0.973,18:30,2024-11-30,09:00:00
2024-11-30 10:00:00,EMPACAR S.A.,0.887,0.973,18:30,2024-11-30,10:00:00
2024-11-30 11:00:00,EMPACAR S.A.,0.887,0.973,18:30,2024-11-30,11:00:00
2024-11-30 12:00:00,EMPACAR S.A.,0.911,0.973,18:30,2024-11-30,12:00:00
2024-11-30 13:00:00,EMPACAR S.A.,0.878,0.973,18:30,2024-11-30,13:00:00
2024-11-30 14:00:00,EMPACAR S.A.,0.852,0.973,18:30,2024-11-30,14:00:00
2024-11-30 15:00:00,EMPACAR S.A.,0.791,0.973,18:30,2024-11-30,15:00:00
2024-11-30 16:00:00,EMPACAR S.A.,0.893,0.973,18:30,2024-11-30,16:00:00
2024-11-30 17:00:00,EMPACAR S.A.,0.837,0.973,18:30,2024-11-30,17:00:00
2024-11-30 18:00:00,EMPACAR S.A.,0.905,0.973,18:30,2024-11-30,18:00:00
2024-11-30 19:00:00,EMPACAR S.A.,0.972,0.973,18:30,2024-11-30,19:00:00
2024-11-30 20:00:00,EMPACAR S.A.,0.946,0.973,18:30,2024-11-30,20:00:00
2024-11-30 21:00:00,EMPACAR S.A.,0.936,0.973,18:30,2024-11-30,21:00:00
2024-11-30 22:00:00,EMPACAR S.A.,0.793,0.973,18:30,2024-11-30,22:00:00
2024-11-30 23:00:00,EMPACAR S.A.,0.902,0.973,18:30,2024-11-30,23:00:00
2024-12-01 00:00:00,EMPACAR S.A.,0.934,0.973,18:30,2024-12-01,00:00:00
2024-12-01 01:00:00,EMPACAR S.A.,0.896,0.976,11:15,2024-12-01,01:00:00
2024-12-01 02:00:00,EMPACAR S.A.,0.952,0.976,11:15,2024-12-01,02:00:00
2024-12-01 03:00:00,EMPACAR S.A.,0.908,0.976,11:15,2024-12-01,03:00:00
2024-12-01 04:00:00,EMPACAR S.A.,0.933,0.976,11:15,2024-12-01,04:00:00
2024-12-01 05:00:00,EMPACAR S.A.,0.892,0.976,11:15,2024-12-01,05:00:00
2024-12-01 06:00:00,EMPACAR S.A.,0.889,0.976,11:15,2024-12-01,06:00:00
2024-12-01 07:00:00,EMPACAR S.A.,0.955,0.976,11:15,2024-12-01,07:00:00
2024-12-01 08:00:00,EMPACAR S.A.,0.951,0.976,11:15,2024-12-01,08:00:00
2024-12-01 09:00:00,EMPACAR S.A.,0.94,0.976,11:15,2024-12-01,09:00:00
2024-12-01 10:00:00,EMPACAR S.A.,0.906,0.976,11:15,2024-12-01,10:00:00
2024-12-01 11:00:00,EMPACAR S.A.,0.964,0.976,11:15,2024-12-01,11:00:00
2024-12-01 12:00:00,EMPACAR S.A.,0.958,0.976,11:15,2024-12-01,12:00:00
2024-12-01 13:00:00,EMPACAR S.A.,0.943,0.976,11:15,2024-12-01,13:00:00
2024-12-01 14:00:00,EMPACAR S.A.,0.918,0.976,11:15,2024-12-01,14:00:00
2024-12-01 15:00:00,EMPACAR S.A.,0.884,0.976,11:15,2024-12-01,15:00:00
2024-12-01 16:00:00,EMPACAR S.A.,0.875,0.976,11:15,2024-12-01,16:00:00
2024-12-01 17:00:00,EMPACAR S.A.,0.936,0.976,11:15,2024-12-01,17:00:00
2024-12-01 18:00:00,EMPACAR S.A.,0.93,0.976,11:15,2024-12-01,18:00:00
2024-12-01 19:00:00,EMPACAR S.A.,0.769,0.976,11:15,2024-12-01,19:00:00
2024-12-01 20:00:00,EMPACAR S.A.,0.627,0.976,11:15,2024-12-01,20:00:00
2024-12-01 21:00:00,EMPACAR S.A.,0.77,0.976,11:15,2024-12-01,21:00:00
2024-12-01 22:00:00,EMPACAR S.A.,0.925,0.976,11:15,2024-12-01,22:00:00
2024-12-01 23:00:00,EMPACAR S.A.,0.915,0.976,11:15,2024-12-01,23:00:00
2024-12-02 00:00:00,EMPACAR S.A.,0.946,0.976,11:15,2024-12-02,00:00:00
2024-12-02 01:00:00,EMPACAR S.A.,0.879,0.958,07:45,2024-12-02,01:00:00
2024-12-02 02:00:00,EMPACAR S.A.,0.797,0.958,07:45,2024-12-02,02:00:00
2024-12-02 03:00:00,EMPACAR S.A.,0.778,0.958,07:45,2024-12-02,03:00:00
2024-12-02 04:00:00,EMPACAR S.A.,0.83,0.958,07:45,2024-12-02,04:00:00
2024-12-02 05:00:00,EMPACAR S.A.,0.853,0.958,07:45,2024-12-02,05:00:00
2024-12-02 06:00:00,EMPACAR S.A.,0.897,0.958,07:45,2024-12-02,06:00:00
2024-12-02 07:00:00,EMPACAR S.A.,0.917,0.958,07:45,2024-12-02,07:00:00
2024-12-02 08:00:00,EMPACAR S.A.,0.944,0.958,07:45,2024-12-02,08:00:00
2024-12-02 09:00:00,EMPACAR S.A.,0.911,0.958,07:45,2024-12-02,09:00:00
2024-12-02 10:00:00,EMPACAR S.A.,0.937,0.958,07:45,2024-12-02,10:00:00
2024-12-02 11:00:00,EMPACAR S.A.,0.849,0.958,07:45,2024-12-02,11:00:00
2024-12-02 12:00:00,EMPACAR S.A.,0.719,0.958,07:45,2024-12-02,12:00:00
2024-12-02 13:00:00,EMPACAR S.A.,0.721,0.958,07:45,2024-12-02,13:00:00
2024-12-02 14:00:00,EMPACAR S.A.,0.705,0.958,07:45,2024-12-02,14:00:00
2024-12-02 15:00:00,EMPACAR S.A.,0.724,0.958,07:45,2024-12-02,15:00:00
2024-12-02 16:00:00,EMPACAR S.A.,0.767,0.958,07:45,2024-12-02,16:00:00
2024-12-02 17:00:00,EMPACAR S.A.,0.656,0.958,07:45,2024-12-02,17:00:00
2024-12-02 18:00:00,EMPACAR S.A.,0.658,0.958,07:45,2024-12-02,18:00:00
2024-12-02 19:00:00,EMPACAR S.A.,0.751,0.958,07:45,2024-12-02,19:00:00
2024-12-02 20:00:00,EMPACAR S.A.,0.816,0.958,07:45,2024-12-02,20:00:00
2024-12-02 21:00:00,EMPACAR S.A.,0.858,0.958,07:45,2024-12-02,21:00:00
2024-12-02 22:00:00,EMPACAR S.A.,0.506,0.958,07:45,2024-12-02,22:00:00
2024-12-02 23:00:00,EMPACAR S.A.,0.77,0.958,07:45,2024-12-02,23:00:00
2024-12-03 00:00:00,EMPACAR S.A.,0.732,0.958,07:45,2024-12-03,00:00:00
2024-12-03 01:00:00,EMPACAR S.A.,0.632,0.943,05:30,2024-12-03,01:00:00
2024-12-03 02:00:00,EMPACAR S.A.,0.714,0.943,05:30,2024-12-03,02:00:00
2024-12-03 03:00:00,EMPACAR S.A.,0.786,0.943,05:30,2024-12-03,03:00:00
2024-12-03 04:00:00,EMPACAR S.A.,0.808,0.943,05:30,2024-12-03,04:00:00
2024-12-03 05:00:00,EMPACAR S.A.,0.803,0.943,05:30,2024-12-03,05:00:00
2024-12-03 06:00:00,EMPACAR S.A.,0.851,0.943,05:30,2024-12-03,06:00:00
2024-12-03 07:00:00,EMPACAR S.A.,0.787,0.943,05:30,2024-12-03,07:00:00
2024-12-03 08:00:00,EMPACAR S.A.,0.762,0.943,05:30,2024-12-03,08:00:00
2024-12-03 09:00:00,EMPACAR S.A.,0.848,0.943,05:30,2024-12-03,09:00:00
2024-12-03 10:00:00,EMPACAR S.A.,0.806,0.943,05:30,2024-12-03,10:00:00
2024-12-03 11:00:00,EMPACAR S.A.,0.876,0.943,05:30,2024-12-03,11:00:00
2024-12-03 12:00:00,EMPACAR S.A.,0.886,0.943,05:30,2024-12-03,12:00:00
2024-12-03 13:00:00,EMPACAR S.A.,0.504,0.943,05:30,2024-12-03,13:00:00
2024-12-03 14:00:00,EMPACAR S.A.,0.336,0.943,05:30,2024-12-03,14:00:00
2024-12-03 15:00:00,EMPACAR S.A.,0.447,0.943,05:30,2024-12-03,15:00:00
2024-12-03 16:00:00,EMPACAR S.A.,0.447,0.943,05:30,2024-12-03,16:00:00
2024-12-03 17:00:00,EMPACAR S.A.,0.5,0.943,05:30,2024-12-03,17:00:00
2024-12-03 18:00:00,EMPACAR S.A.,0.595,0.943,05:30,2024-12-03,18:00:00
2024-12-03 19:00:00,EMPACAR S.A.,0.668,0.943,05:30,2024-12-03,19:00:00
2024-12-03 20:00:00,EMPACAR S.A.,0.534,0.943,05:30,2024-12-03,20:00:00
2024-12-03 21:00:00,EMPACAR S.A.,0.56,0.943,05:30,2024-12-03,21:00:00
2024-12-03 22:00:00,EMPACAR S.A.,0.655,0.943,05:30,2024-12-03,22:00:00
2024-12-03 23:00:00,EMPACAR S.A.,0.773,0.943,05:30,2024-12-03,23:00:00
2024-12-04 00:00:00,EMPACAR S.A.,0.785,0.943,05:30,2024-12-04,00:00:00
2024-12-04 01:00:00,EMPACAR S.A.,0.883,0.913,05:00,2024-12-04,01:00:00
2024-12-04 02:00:00,EMPACAR S.A.,0.894,0.913,05:00,2024-12-04,02:00:00
2024-12-04 03:00:00,EMPACAR S.A.,0.882,0.913,05:00,2024-12-04,03:00:00
2024-12-04 04:00:00,EMPACAR S.A.,0.876,0.913,05:00,2024-12-04,04:00:00
2024-12-04 05:00:00,EMPACAR S.A.,0.853,0.913,05:00,2024-12-04,05:00:00
2024-12-04 06:00:00,EMPACAR S.A.,0.779,0.913,05:00,2024-12-04,06:00:00
2024-12-04 07:00:00,EMPACAR S.A.,0.836,0.913,05:00,2024-12-04,07:00:00
2024-12-04 08:00:00,EMPACAR S.A.,0.874,0.913,05:00,2024-12-04,08:00:00
2024-12-04 09:00:00,EMPACAR S.A.,0.736,0.913,05:00,2024-12-04,09:00:00
2024-12-04 10:00:00,EMPACAR S.A.,0.765,0.913,05:00,2024-12-04,10:00:00
2024-12-04 11:00:00,EMPACAR S.A.,0.816,0.913,05:00,2024-12-04,11:00:00
2024-12-04 12:00:00,EMPACAR S.A.,0.888,0.913,05:00,2024-12-04,12:00:00
2024-12-04 13:00:00,EMPACAR S.A.,0.881,0.913,05:00,2024-12-04,13:00:00
2024-12-04 14:00:00,EMPACAR S.A.,0.861,0.913,05:00,2024-12-04,14:00:00
2024-12-04 15:00:00,EMPACAR S.A.,0.833,0.913,05:00,2024-12-04,15:00:00
2024-12-04 16:00:00,EMPACAR S.A.,0.831,0.913,05:00,2024-12-04,16:00:00
2024-12-04 17:00:00,EMPACAR S.A.,0.865,0.913,05:00,2024-12-04,17:00:00
2024-12-04 18:00:00,EMPACAR S.A.,0.864,0.913,05:00,2024-12-04,18:00:00
2024-12-04 19:00:00,EMPACAR S.A.,0.867,0.913,05:00,2024-12-04,19:00:00
2024-12-04 20:00:00,EMPACAR S.A.,0.878,0.913,05:00,2024-12-04,20:00:00
2024-12-04 21:00:00,EMPACAR S.A.,0.856,0.913,05:00,2024-12-04,21:00:00
2024-12-04 22:00:00,EMPACAR S.A.,0.787,0.913,05:00,2024-12-04,22:00:00
2024-12-04 23:00:00,EMPACAR S.A.,0.803,0.913,05:00,2024-12-04,23:00:00
2024-12-05 00:00:00,EMPACAR S.A.,0.861,0.913,05:00,2024-12-05,00:00:00
2024-12-05 01:00:00,EMPACAR S.A.,0.78,0.891,04:30,2024-12-05,01:00:00
2024-12-05 02:00:00,EMPACAR S.A.,0.874,0.891,04:30,2024-12-05,02:00:00
2024-12-05 03:00:00,EMPACAR S.A.,0.873,0.891,04:30,2024-12-05,03:00:00
2024-12-05 04:00:00,EMPACAR S.A.,0.858,0.891,04:30,2024-12-05,04:00:00
2024-12-05 05:00:00,EMPACAR S.A.,0.86,0.891,04:30,2024-12-05,05:00:00
2024-12-05 06:00:00,EMPACAR S.A.,0.822,0.891,04:30,2024-12-05,06:00:00
2024-12-05 07:00:00,EMPACAR S.A.,0.829,0.891,04:30,2024-12-05,07:00:00
2024-12-05 08:00:00,EMPACAR S.A.,0.846,0.891,04:30,2024-12-05,08:00:00
2024-12-05 09:00:00,EMPACAR S.A.,0.788,0.891,04:30,2024-12-05,09:00:00
2024-12-05 10:00:00,EMPACAR S.A.,0.85,0.891,04:30,2024-12-05,10:00:00
2024-12-05 11:00:00,EMPACAR S.A.,0.793,0.891,04:30,2024-12-05,11:00:00
2024-12-05 12:00:00,EMPACAR S.A.,0.852,0.891,04:30,2024-12-05,12:00:00
2024-12-05 13:00:00,EMPACAR S.A.,0.856,0.891,04:30,2024-12-05,13:00:00
2024-12-05 14:00:00,EMPACAR S.A.,0.794,0.891,04:30,2024-12-05,14:00:00
2024-12-05 15:00:00,EMPACAR S.A.,0.854,0.891,04:30,2024-12-05,15:00:00
2024-12-05 16:00:00,EMPACAR S.A.,0.814,0.891,04:30,2024-12-05,16:00:00
2024-12-05 17:00:00,EMPACAR S.A.,0.78,0.891,04:30,2024-12-05,17:00:00
2024-12-05 18:00:00,EMPACAR S.A.,0.836,0.891,04:30,2024-12-05,18:00:00
2024-12-05 19:00:00,EMPACAR S.A.,0.864,0.891,04:30,2024-12-05,19:00:00
2024-12-05 20:00:00,EMPACAR S.A.,0.821,0.891,04:30,2024-12-05,20:00:00
2024-12-05 21:00:00,EMPACAR S.A.,0.757,0.891,04:30,2024-12-05,21:00:00
2024-12-05 22:00:00,EMPACAR S.A.,0.842,0.891,04:30,2024-12-05,22:00:00
2024-12-05 23:00:00,EMPACAR S.A.,0.845,0.891,04:30,2024-12-05,23:00:00
2024-12-06 00:00:00,EMPACAR S.A.,0.845,0.891,04:30,2024-12-06,00:00:00
2024-12-06 01:00:00,EMPACAR S.A.,0.825,0.879,24:00,2024-12-06,01:00:00
2024-12-06 02:00:00,EMPACAR S.A.,0.847,0.879,24:00,2024-12-06,02:00:00
2024-12-06 03:00:00,EMPACAR S.A.,0.87,0.879,24:00,2024-12-06,03:00:00
2024-12-06 04:00:00,EMPACAR S.A.,0.841,0.879,24:00,2024-12-06,04:00:00
2024-12-06 05:00:00,EMPACAR S.A.,0.826,0.879,24:00,2024-12-06,05:00:00
2024-12-06 06:00:00,EMPACAR S.A.,0.807,0.879,24:00,2024-12-06,06:00:00
2024-12-06 07:00:00,EMPACAR S.A.,0.859,0.879,24:00,2024-12-06,07:00:00
2024-12-06 08:00:00,EMPACAR S.A.,0.772,0.879,24:00,2024-12-06,08:00:00
2024-12-06 09:00:00,EMPACAR S.A.,0.794,0.879,24:00,2024-12-06,09:00:00
2024-12-06 10:00:00,EMPACAR S.A.,0.867,0.879,24:00,2024-12-06,10:00:00
2024-12-06 11:00:00,EMPACAR S.A.,0.852,0.879,24:00,2024-12-06,11:00:00
2024-12-06 12:00:00,EMPACAR S.A.,0.826,0.879,24:00,2024-12-06,12:00:00
2024-12-06 13:00:00,EMPACAR S.A.,0.752,0.879,24:00,2024-12-06,13:00:00
2024-12-06 14:00:00,EMPACAR S.A.,0.686,0.879,24:00,2024-12-06,14:00:00
2024-12-06 15:00:00,EMPACAR S.A.,0.673,0.879,24:00,2024-12-06,15:00:00
2024-12-06 16:00:00,EMPACAR S.A.,0.663,0.879,24:00,2024-12-06,16:00:00
2024-12-06 17:00:00,EMPACAR S.A.,0.724,0.879,24:00,2024-12-06,17:00:00
2024-12-06 18:00:00,EMPACAR S.A.,0.682,0.879,24:00,2024-12-06,18:00:00
2024-12-06 19:00:00,EMPACAR S.A.,0.684,0.879,24:00,2024-12-06,19:00:00
2024-12-06 20:00:00,EMPACAR S.A.,0.698,0.879,24:00,2024-12-06,20:00:00
2024-12-06 21:00:00,EMPACAR S.A.,0.723,0.879,24:00,2024-12-06,21:00:00
2024-12-06 22:00:00,EMPACAR S.A.,0.826,0.879,24:00,2024-12-06,22:00:00
2024-12-06 23:00:00,EMPACAR S.A.,0.776,0.879,24:00,2024-12-06,23:00:00
2024-12-07 00:00:00,EMPACAR S.A.,0.851,0.879,24:00,2024-12-07,00:00:00
2024-12-07 01:00:00,EMPACAR S.A.,0.834,0.927,11:00,2024-12-07,01:00:00
2024-12-07 02:00:00,EMPACAR S.A.,0.774,0.927,11:00,2024-12-07,02:00:00
2024-12-07 03:00:00,EMPACAR S.A.,0.859,0.927,11:00,2024-12-07,03:00:00
2024-12-07 04:00:00,EMPACAR S.A.,0.841,0.927,11:00,2024-12-07,04:00:00
2024-12-07 05:00:00,EMPACAR S.A.,0.829,0.927,11:00,2024-12-07,05:00:00
2024-12-07 06:00:00,EMPACAR S.A.,0.863,0.927,11:00,2024-12-07,06:00:00
2024-12-07 07:00:00,EMPACAR S.A.,0.859,0.927,11:00,2024-12-07,07:00:00
2024-12-07 08:00:00,EMPACAR S.A.,0.849,0.927,11:00,2024-12-07,08:00:00
2024-12-07 09:00:00,EMPACAR S.A.,0.785,0.927,11:00,2024-12-07,09:00:00
2024-12-07 10:00:00,EMPACAR S.A.,0.902,0.927,11:00,2024-12-07,10:00:00
2024-12-07 11:00:00,EMPACAR S.A.,0.914,0.927,11:00,2024-12-07,11:00:00
2024-12-07 12:00:00,EMPACAR S.A.,0.911,0.927,11:00,2024-12-07,12:00:00
2024-12-07 13:00:00,EMPACAR S.A.,0.892,0.927,11:00,2024-12-07,13:00:00
2024-12-07 14:00:00,EMPACAR S.A.,0.905,0.927,11:00,2024-12-07,14:00:00
2024-12-07 15:00:00,EMPACAR S.A.,0.902,0.927,11:00,2024-12-07,15:00:00
2024-12-07 16:00:00,EMPACAR S.A.,0.891,0.927,11:00,2024-12-07,16:00:00
2024-12-07 17:00:00,EMPACAR S.A.,0.899,0.927,11:00,2024-12-07,17:00:00
2024-12-07 18:00:00,EMPACAR S.A.,0.903,0.927,11:00,2024-12-07,18:00:00
2024-12-07 19:00:00,EMPACAR S.A.,0.903,0.927,11:00,2024-12-07,19:00:00
2024-12-07 20:00:00,EMPACAR S.A.,0.877,0.927,11:00,2024-12-07,20:00:00
2024-12-07 21:00:00,EMPACAR S.A.,0.905,0.927,11:00,2024-12-07,21:00:00
2024-12-07 22:00:00,EMPACAR S.A.,0.909,0.927,11:00,2024-12-07,22:00:00
2024-12-07 23:00:00,EMPACAR S.A.,0.901,0.927,11:00,2024-12-07,23:00:00
2024-12-08 00:00:00,EMPACAR S.A.,0.874,0.927,11:00,2024-12-08,00:00:00
2024-12-08 01:00:00,EMPACAR S.A.,0.897,0.942,23:30,2024-12-08,01:00:00
2024-12-08 02:00:00,EMPACAR S.A.,0.858,0.942,23:30,2024-12-08,02:00:00
2024-12-08 03:00:00,EMPACAR S.A.,0.703,0.942,23:30,2024-12-08,03:00:00
2024-12-08 04:00:00,EMPACAR S.A.,0.843,0.942,23:30,2024-12-08,04:00:00
2024-12-08 05:00:00,EMPACAR S.A.,0.906,0.942,23:30,2024-12-08,05:00:00
2024-12-08 06:00:00,EMPACAR S.A.,0.897,0.942,23:30,2024-12-08,06:00:00
2024-12-08 07:00:00,EMPACAR S.A.,0.887,0.942,23:30,2024-12-08,07:00:00
2024-12-08 08:00:00,EMPACAR S.A.,0.899,0.942,23:30,2024-12-08,08:00:00
2024-12-08 09:00:00,EMPACAR S.A.,0.882,0.942,23:30,2024-12-08,09:00:00
2024-12-08 10:00:00,EMPACAR S.A.,0.92,0.942,23:30,2024-12-08,10:00:00
2024-12-08 11:00:00,EMPACAR S.A.,0.904,0.942,23:30,2024-12-08,11:00:00
2024-12-08 12:00:00,EMPACAR S.A.,0.901,0.942,23:30,2024-12-08,12:00:00
2024-12-08 13:00:00,EMPACAR S.A.,0.869,0.942,23:30,2024-12-08,13:00:00
2024-12-08 14:00:00,EMPACAR S.A.,0.913,0.942,23:30,2024-12-08,14:00:00
2024-12-08 15:00:00,EMPACAR S.A.,0.916,0.942,23:30,2024-12-08,15:00:00
2024-12-08 16:00:00,EMPACAR S.A.,0.924,0.942,23:30,2024-12-08,16:00:00
2024-12-08 17:00:00,EMPACAR S.A.,0.915,0.942,23:30,2024-12-08,17:00:00
2024-12-08 18:00:00,EMPACAR S.A.,0.859,0.942,23:30,2024-12-08,18:00:00
2024-12-08 19:00:00,EMPACAR S.A.,0.932,0.942,23:30,2024-12-08,19:00:00
2024-12-08 20:00:00,EMPACAR S.A.,0.923,0.942,23:30,2024-12-08,20:00:00
2024-12-08 21:00:00,EMPACAR S.A.,0.923,0.942,23:30,2024-12-08,21:00:00
2024-12-08 22:00:00,EMPACAR S.A.,0.913,0.942,23:30,2024-12-08,22:00:00
2024-12-08 23:00:00,EMPACAR S.A.,0.917,0.942,23:30,2024-12-08,23:00:00
2024-12-09 00:00:00,EMPACAR S.A.,0.927,0.942,23:30,2024-12-09,00:00:00
2024-12-09 01:00:00,EMPACAR S.A.,0.912,0.928,08:15,2024-12-09,01:00:00
2024-12-09 02:00:00,EMPACAR S.A.,0.888,0.928,08:15,2024-12-09,02:00:00
2024-12-09 03:00:00,EMPACAR S.A.,0.899,0.928,08:15,2024-12-09,03:00:00
2024-12-09 04:00:00,EMPACAR S.A.,0.916,0.928,08:15,2024-12-09,04:00:00
2024-12-09 05:00:00,EMPACAR S.A.,0.906,0.928,08:15,2024-12-09,05:00:00
2024-12-09 06:00:00,EMPACAR S.A.,0.9,0.928,08:15,2024-12-09,06:00:00
2024-12-09 07:00:00,EMPACAR S.A.,0.908,0.928,08:15,2024-12-09,07:00:00
2024-12-09 08:00:00,EMPACAR S.A.,0.917,0.928,08:15,2024-12-09,08:00:00
2024-12-09 09:00:00,EMPACAR S.A.,0.919,0.928,08:15,2024-12-09,09:00:00
2024-12-09 10:00:00,EMPACAR S.A.,0.783,0.928,08:15,2024-12-09,10:00:00
2024-12-09 11:00:00,EMPACAR S.A.,0.713,0.928,08:15,2024-12-09,11:00:00
2024-12-09 12:00:00,EMPACAR S.A.,0.723,0.928,08:15,2024-12-09,12:00:00
2024-12-09 13:00:00,EMPACAR S.A.,0.714,0.928,08:15,2024-12-09,13:00:00
2024-12-09 14:00:00,EMPACAR S.A.,0.748,0.928,08:15,2024-12-09,14:00:00
2024-12-09 15:00:00,EMPACAR S.A.,0.743,0.928,08:15,2024-12-09,15:00:00
2024-12-09 16:00:00,EMPACAR S.A.,0.768,0.928,08:15,2024-12-09,16:00:00
2024-12-09 17:00:00,EMPACAR S.A.,0.772,0.928,08:15,2024-12-09,17:00:00
2024-12-09 18:00:00,EMPACAR S.A.,0.698,0.928,08:15,2024-12-09,18:00:00
2024-12-09 19:00:00,EMPACAR S.A.,0.653,0.928,08:15,2024-12-09,19:00:00
2024-12-09 20:00:00,EMPACAR S.A.,0.547,0.928,08:15,2024-12-09,20:00:00
2024-12-09 21:00:00,EMPACAR S.A.,0.552,0.928,08:15,2024-12-09,21:00:00
2024-12-09 22:00:00,EMPACAR S.A.,0.592,0.928,08:15,2024-12-09,22:00:00
2024-12-09 23:00:00,EMPACAR S.A.,0.511,0.928,08:15,2024-12-09,23:00:00
2024-12-10 00:00:00,EMPACAR S.A.,0.565,0.928,08:15,2024-12-10,00:00:00
2024-12-10 01:00:00,EMPACAR S.A.,0.663,0.979,12:15,2024-12-10,01:00:00
2024-12-10 02:00:00,EMPACAR S.A.,0.726,0.979,12:15,2024-12-10,02:00:00
2024-12-10 03:00:00,EMPACAR S.A.,0.726,0.979,12:15,2024-12-10,03:00:00
2024-12-10 04:00:00,EMPACAR S.A.,0.803,0.979,12:15,2024-12-10,04:00:00
2024-12-10 05:00:00,EMPACAR S.A.,0.856,0.979,12:15,2024-12-10,05:00:00
2024-12-10 06:00:00,EMPACAR S.A.,0.891,0.979,12:15,2024-12-10,06:00:00
2024-12-10 07:00:00,EMPACAR S.A.,0.902,0.979,12:15,2024-12-10,07:00:00
2024-12-10 08:00:00,EMPACAR S.A.,0.923,0.979,12:15,2024-12-10,08:00:00
2024-12-10 09:00:00,EMPACAR S.A.,0.901,0.979,12:15,2024-12-10,09:00:00
2024-12-10 10:00:00,EMPACAR S.A.,0.945,0.979,12:15,2024-12-10,10:00:00
2024-12-10 11:00:00,EMPACAR S.A.,0.876,0.979,12:15,2024-12-10,11:00:00
2024-12-10 12:00:00,EMPACAR S.A.,0.941,0.979,12:15,2024-12-10,12:00:00
2024-12-10 13:00:00,EMPACAR S.A.,0.914,0.979,12:15,2024-12-10,13:00:00
2024-12-10 14:00:00,EMPACAR S.A.,0.938,0.979,12:15,2024-12-10,14:00:00
2024-12-10 15:00:00,EMPACAR S.A.,0.84,0.979,12:15,2024-12-10,15:00:00
2024-12-10 16:00:00,EMPACAR S.A.,0.816,0.979,12:15,2024-12-10,16:00:00
2024-12-10 17:00:00,EMPACAR S.A.,0.786,0.979,12:15,2024-12-10,17:00:00
2024-12-10 18:00:00,EMPACAR S.A.,0.83,0.979,12:15,2024-12-10,18:00:00
2024-12-10 19:00:00,EMPACAR S.A.,0.867,0.979,12:15,2024-12-10,19:00:00
2024-12-10 20:00:00,EMPACAR S.A.,0.936,0.979,12:15,2024-12-10,20:00:00
