Timestamp,Subestacion,MW,Max_Diario_MW,Hora_Pico_Reg,Fecha_Real,Hora_Real
2024-09-01 01:00:00,Brechas - 115,24.371,25.174,21:00,2024-09-01,01:00:00
2024-09-01 02:00:00,Brechas - 115,23.923,25.174,21:00,2024-09-01,02:00:00
2024-09-01 03:00:00,Brechas - 115,22.199,25.174,21:00,2024-09-01,03:00:00
2024-09-01 04:00:00,Brechas - 115,21.019,25.174,21:00,2024-09-01,04:00:00
2024-09-01 05:00:00,Brechas - 115,19.347,25.174,21:00,2024-09-01,05:00:00
2024-09-01 06:00:00,Brechas - 115,15.848,25.174,21:00,2024-09-01,06:00:00
2024-09-01 07:00:00,Brechas - 115,13.596,25.174,21:00,2024-09-01,07:00:00
2024-09-01 08:00:00,Brechas - 115,15.547,25.174,21:00,2024-09-01,08:00:00
2024-09-01 09:00:00,Brechas - 115,17.542,25.174,21:00,2024-09-01,09:00:00
2024-09-01 10:00:00,Brechas - 115,18.311,25.174,21:00,2024-09-01,10:00:00
2024-09-01 11:00:00,Brechas - 115,18.307,25.174,21:00,2024-09-01,11:00:00
2024-09-01 12:00:00,Brechas - 115,18.355,25.174,21:00,2024-09-01,12:00:00
2024-09-01 13:00:00,Brechas - 115,18.104,25.174,21:00,2024-09-01,13:00:00
2024-09-01 14:00:00,Brechas - 115,18.057,25.174,21:00,2024-09-01,14:00:00
2024-09-01 15:00:00,Brechas - 115,18.087,25.174,21:00,2024-09-01,15:00:00
2024-09-01 16:00:00,Brechas - 115,18.079,25.174,21:00,2024-09-01,16:00:00
2024-09-01 17:00:00,Brechas - 115,17.792,25.174,21:00,2024-09-01,17:00:00
2024-09-01 18:00:00,Brechas - 115,18.164,25.174,21:00,2024-09-01,18:00:00
2024-09-01 19:00:00,Brechas - 115,23.213,25.174,21:00,2024-09-01,19:00:00
2024-09-01 20:00:00,Brechas - 115,24.841,25.174,21:00,2024-09-01,20:00:00
2024-09-01 21:00:00,Brechas - 115,24.958,25.174,21:00,2024-09-01,21:00:00
2024-09-01 22:00:00,Brechas - 115,24.243,25.174,21:00,2024-09-01,22:00:00
2024-09-01 23:00:00,Brechas - 115,21.751,25.174,21:00,2024-09-01,23:00:00
2024-09-02 00:00:00,Brechas - 115,20.82,25.174,21:00,2024-09-02,00:00:00
2024-09-02 01:00:00,Brechas - 115,19.523,35.178,15:00,2024-09-02,01:00:00
2024-09-02 02:00:00,Brechas - 115,17.992,35.178,15:00,2024-09-02,02:00:00
2024-09-02 03:00:00,Brechas - 115,17.145,35.178,15:00,2024-09-02,03:00:00
2024-09-02 04:00:00,Brechas - 115,16.501,35.178,15:00,2024-09-02,04:00:00
2024-09-02 05:00:00,Brechas - 115,16.557,35.178,15:00,2024-09-02,05:00:00
2024-09-02 06:00:00,Brechas - 115,17.915,35.178,15:00,2024-09-02,06:00:00
2024-09-02 07:00:00,Brechas - 115,18.101,35.178,15:00,2024-09-02,07:00:00
2024-09-02 08:00:00,Brechas - 115,19.115,35.178,15:00,2024-09-02,08:00:00
2024-09-02 09:00:00,Brechas - 115,21.54,35.178,15:00,2024-09-02,09:00:00
2024-09-02 10:00:00,Brechas - 115,23.787,35.178,15:00,2024-09-02,10:00:00
2024-09-02 11:00:00,Brechas - 115,25.463,35.178,15:00,2024-09-02,11:00:00
2024-09-02 12:00:00,Brechas - 115,27.806,35.178,15:00,2024-09-02,12:00:00
2024-09-02 13:00:00,Brechas - 115,29.632,35.178,15:00,2024-09-02,13:00:00
2024-09-02 14:00:00,Brechas - 115,31.856,35.178,15:00,2024-09-02,14:00:00
2024-09-02 15:00:00,Brechas - 115,34.463,35.178,15:00,2024-09-02,15:00:00
2024-09-02 16:00:00,Brechas - 115,34.211,35.178,15:00,2024-09-02,16:00:00
2024-09-02 17:00:00,Brechas - 115,32.726,35.178,15:00,2024-09-02,17:00:00
2024-09-02 18:00:00,Brechas - 115,31.453,35.178,15:00,2024-09-02,18:00:00
2024-09-02 19:00:00,Brechas - 115,33.264,35.178,15:00,2024-09-02,19:00:00
2024-09-02 20:00:00,Brechas - 115,34.128,35.178,15:00,2024-09-02,20:00:00
2024-09-02 21:00:00,Brechas - 115,34.053,35.178,15:00,2024-09-02,21:00:00
2024-09-02 22:00:00,Brechas - 115,33.7,35.178,15:00,2024-09-02,22:00:00
2024-09-02 23:00:00,Brechas - 115,30.885,35.178,15:00,2024-09-02,23:00:00
2024-09-03 00:00:00,Brechas - 115,30.079,35.178,15:00,2024-09-03,00:00:00
2024-09-03 01:00:00,Brechas - 115,28.552,39.356,15:45,2024-09-03,01:00:00
2024-09-03 02:00:00,Brechas - 115,26.361,39.356,15:45,2024-09-03,02:00:00
2024-09-03 03:00:00,Brechas - 115,25.696,39.356,15:45,2024-09-03,03:00:00
2024-09-03 04:00:00,Brechas - 115,25.968,39.356,15:45,2024-09-03,04:00:00
2024-09-03 05:00:00,Brechas - 115,25.563,39.356,15:45,2024-09-03,05:00:00
2024-09-03 06:00:00,Brechas - 115,26.888,39.356,15:45,2024-09-03,06:00:00
2024-09-03 07:00:00,Brechas - 115,26.41,39.356,15:45,2024-09-03,07:00:00
2024-09-03 08:00:00,Brechas - 115,27.035,39.356,15:45,2024-09-03,08:00:00
2024-09-03 09:00:00,Brechas - 115,29.389,39.356,15:45,2024-09-03,09:00:00
2024-09-03 10:00:00,Brechas - 115,32.471,39.356,15:45,2024-09-03,10:00:00
2024-09-03 11:00:00,Brechas - 115,33.988,39.356,15:45,2024-09-03,11:00:00
2024-09-03 12:00:00,Brechas - 115,35.263,39.356,15:45,2024-09-03,12:00:00
2024-09-03 13:00:00,Brechas - 115,35.357,39.356,15:45,2024-09-03,13:00:00
2024-09-03 14:00:00,Brechas - 115,37.368,39.356,15:45,2024-09-03,14:00:00
2024-09-03 15:00:00,Brechas - 115,38.5,39.356,15:45,2024-09-03,15:00:00
2024-09-03 16:00:00,Brechas - 115,38.997,39.356,15:45,2024-09-03,16:00:00
2024-09-03 17:00:00,Brechas - 115,37.891,39.356,15:45,2024-09-03,17:00:00
2024-09-03 18:00:00,Brechas - 115,33.69,39.356,15:45,2024-09-03,18:00:00
2024-09-03 19:00:00,Brechas - 115,36.937,39.356,15:45,2024-09-03,19:00:00
2024-09-03 20:00:00,Brechas - 115,37.514,39.356,15:45,2024-09-03,20:00:00
2024-09-03 21:00:00,Brechas - 115,36.79,39.356,15:45,2024-09-03,21:00:00
2024-09-03 22:00:00,Brechas - 115,35.933,39.356,15:45,2024-09-03,22:00:00
2024-09-03 23:00:00,Brechas - 115,35.55,39.356,15:45,2024-09-03,23:00:00
2024-09-04 00:00:00,Brechas - 115,33.023,39.356,15:45,2024-09-04,00:00:00
2024-09-04 01:00:00,Brechas - 115,31.559,38.81,20:00,2024-09-04,01:00:00
2024-09-04 02:00:00,Brechas - 115,30.568,38.81,20:00,2024-09-04,02:00:00
2024-09-04 03:00:00,Brechas - 115,25.122,38.81,20:00,2024-09-04,03:00:00
2024-09-04 04:00:00,Brechas - 115,23.513,38.81,20:00,2024-09-04,04:00:00
2024-09-04 05:00:00,Brechas - 115,22.47,38.81,20:00,2024-09-04,05:00:00
2024-09-04 06:00:00,Brechas - 115,23.365,38.81,20:00,2024-09-04,06:00:00
2024-09-04 07:00:00,Brechas - 115,22.599,38.81,20:00,2024-09-04,07:00:00
2024-09-04 08:00:00,Brechas - 115,23.147,38.81,20:00,2024-09-04,08:00:00
2024-09-04 09:00:00,Brechas - 115,26.485,38.81,20:00,2024-09-04,09:00:00
2024-09-04 10:00:00,Brechas - 115,28.414,38.81,20:00,2024-09-04,10:00:00
2024-09-04 11:00:00,Brechas - 115,30.083,38.81,20:00,2024-09-04,11:00:00
2024-09-04 12:00:00,Brechas - 115,30.978,38.81,20:00,2024-09-04,12:00:00
2024-09-04 13:00:00,Brechas - 115,31.517,38.81,20:00,2024-09-04,13:00:00
2024-09-04 14:00:00,Brechas - 115,33.79,38.81,20:00,2024-09-04,14:00:00
2024-09-04 15:00:00,Brechas - 115,35.6,38.81,20:00,2024-09-04,15:00:00
2024-09-04 16:00:00,Brechas - 115,37.181,38.81,20:00,2024-09-04,16:00:00
2024-09-04 17:00:00,Brechas - 115,35.539,38.81,20:00,2024-09-04,17:00:00
2024-09-04 18:00:00,Brechas - 115,34.059,38.81,20:00,2024-09-04,18:00:00
2024-09-04 19:00:00,Brechas - 115,36.953,38.81,20:00,2024-09-04,19:00:00
2024-09-04 20:00:00,Brechas - 115,38.111,38.81,20:00,2024-09-04,20:00:00
2024-09-04 21:00:00,Brechas - 115,38.217,38.81,20:00,2024-09-04,21:00:00
2024-09-04 22:00:00,Brechas - 115,37.725,38.81,20:00,2024-09-04,22:00:00
2024-09-04 23:00:00,Brechas - 115,35.438,38.81,20:00,2024-09-04,23:00:00
2024-09-05 00:00:00,Brechas - 115,34.381,38.81,20:00,2024-09-05,00:00:00
2024-09-05 01:00:00,Brechas - 115,32.408,81.375,15:30,2024-09-05,01:00:00
2024-09-05 02:00:00,Brechas - 115,31.257,81.375,15:30,2024-09-05,02:00:00
2024-09-05 03:00:00,Brechas - 115,29.675,81.375,15:30,2024-09-05,03:00:00
2024-09-05 04:00:00,Brechas - 115,29.08,81.375,15:30,2024-09-05,04:00:00
2024-09-05 05:00:00,Brechas - 115,28.642,81.375,15:30,2024-09-05,05:00:00
2024-09-05 06:00:00,Brechas - 115,28.772,81.375,15:30,2024-09-05,06:00:00
2024-09-05 07:00:00,Brechas - 115,27.984,81.375,15:30,2024-09-05,07:00:00
2024-09-05 08:00:00,Brechas - 115,27.469,81.375,15:30,2024-09-05,08:00:00
2024-09-05 09:00:00,Brechas - 115,29.155,81.375,15:30,2024-09-05,09:00:00
2024-09-05 10:00:00,Brechas - 115,31.107,81.375,15:30,2024-09-05,10:00:00
2024-09-05 11:00:00,Brechas - 115,31.745,81.375,15:30,2024-09-05,11:00:00
2024-09-05 12:00:00,Brechas - 115,32.139,81.375,15:30,2024-09-05,12:00:00
2024-09-05 13:00:00,Brechas - 115,31.19,81.375,15:30,2024-09-05,13:00:00
2024-09-05 14:00:00,Brechas - 115,31.842,81.375,15:30,2024-09-05,14:00:00
2024-09-05 15:00:00,Brechas - 115,68.24,81.375,15:30,2024-09-05,15:00:00
2024-09-05 16:00:00,Brechas - 115,71.634,81.375,15:30,2024-09-05,16:00:00
2024-09-05 17:00:00,Brechas - 115,30.086,81.375,15:30,2024-09-05,17:00:00
2024-09-05 18:00:00,Brechas - 115,26.754,81.375,15:30,2024-09-05,18:00:00
2024-09-05 19:00:00,Brechas - 115,29.522,81.375,15:30,2024-09-05,19:00:00
2024-09-05 20:00:00,Brechas - 115,29.815,81.375,15:30,2024-09-05,20:00:00
2024-09-05 21:00:00,Brechas - 115,29.708,81.375,15:30,2024-09-05,21:00:00
2024-09-05 22:00:00,Brechas - 115,27.16,81.375,15:30,2024-09-05,22:00:00
2024-09-05 23:00:00,Brechas - 115,24.718,81.375,15:30,2024-09-05,23:00:00
2024-09-06 00:00:00,Brechas - 115,23.989,81.375,15:30,2024-09-06,00:00:00
2024-09-06 01:00:00,Brechas - 115,23.086,66.305,16:00,2024-09-06,01:00:00
2024-09-06 02:00:00,Brechas - 115,21.502,66.305,16:00,2024-09-06,02:00:00
2024-09-06 03:00:00,Brechas - 115,20.793,66.305,16:00,2024-09-06,03:00:00
2024-09-06 04:00:00,Brechas - 115,19.84,66.305,16:00,2024-09-06,04:00:00
2024-09-06 05:00:00,Brechas - 115,20.012,66.305,16:00,2024-09-06,05:00:00
2024-09-06 06:00:00,Brechas - 115,20.633,66.305,16:00,2024-09-06,06:00:00
2024-09-06 07:00:00,Brechas - 115,19.988,66.305,16:00,2024-09-06,07:00:00
2024-09-06 08:00:00,Brechas - 115,21.561,66.305,16:00,2024-09-06,08:00:00
2024-09-06 09:00:00,Brechas - 115,23.623,66.305,16:00,2024-09-06,09:00:00
2024-09-06 10:00:00,Brechas - 115,26.245,66.305,16:00,2024-09-06,10:00:00
2024-09-06 11:00:00,Brechas - 115,28.68,66.305,16:00,2024-09-06,11:00:00
2024-09-06 12:00:00,Brechas - 115,30.161,66.305,16:00,2024-09-06,12:00:00
2024-09-06 13:00:00,Brechas - 115,30.009,66.305,16:00,2024-09-06,13:00:00
2024-09-06 14:00:00,Brechas - 115,30.433,66.305,16:00,2024-09-06,14:00:00
2024-09-06 15:00:00,Brechas - 115,31.718,66.305,16:00,2024-09-06,15:00:00
2024-09-06 16:00:00,Brechas - 115,48.744,66.305,16:00,2024-09-06,16:00:00
2024-09-06 17:00:00,Brechas - 115,34.704,66.305,16:00,2024-09-06,17:00:00
2024-09-06 18:00:00,Brechas - 115,29.872,66.305,16:00,2024-09-06,18:00:00
2024-09-06 19:00:00,Brechas - 115,32.995,66.305,16:00,2024-09-06,19:00:00
2024-09-06 20:00:00,Brechas - 115,33.398,66.305,16:00,2024-09-06,20:00:00
2024-09-06 21:00:00,Brechas - 115,32.866,66.305,16:00,2024-09-06,21:00:00
2024-09-06 22:00:00,Brechas - 115,31.916,66.305,16:00,2024-09-06,22:00:00
2024-09-06 23:00:00,Brechas - 115,29.533,66.305,16:00,2024-09-06,23:00:00
2024-09-07 00:00:00,Brechas - 115,28.357,66.305,16:00,2024-09-07,00:00:00
2024-09-07 01:00:00,Brechas - 115,28.142,35.472,18:45,2024-09-07,01:00:00
2024-09-07 02:00:00,Brechas - 115,26.852,35.472,18:45,2024-09-07,02:00:00
2024-09-07 03:00:00,Brechas - 115,26.714,35.472,18:45,2024-09-07,03:00:00
2024-09-07 04:00:00,Brechas - 115,26.248,35.472,18:45,2024-09-07,04:00:00
2024-09-07 05:00:00,Brechas - 115,26.288,35.472,18:45,2024-09-07,05:00:00
2024-09-07 06:00:00,Brechas - 115,26.826,35.472,18:45,2024-09-07,06:00:00
2024-09-07 07:00:00,Brechas - 115,25.597,35.472,18:45,2024-09-07,07:00:00
2024-09-07 08:00:00,Brechas - 115,26.184,35.472,18:45,2024-09-07,08:00:00
2024-09-07 09:00:00,Brechas - 115,28.5,35.472,18:45,2024-09-07,09:00:00
2024-09-07 10:00:00,Brechas - 115,30.975,35.472,18:45,2024-09-07,10:00:00
2024-09-07 11:00:00,Brechas - 115,32.092,35.472,18:45,2024-09-07,11:00:00
2024-09-07 12:00:00,Brechas - 115,33.29,35.472,18:45,2024-09-07,12:00:00
2024-09-07 13:00:00,Brechas - 115,32.424,35.472,18:45,2024-09-07,13:00:00
2024-09-07 14:00:00,Brechas - 115,33.098,35.472,18:45,2024-09-07,14:00:00
2024-09-07 15:00:00,Brechas - 115,33.791,35.472,18:45,2024-09-07,15:00:00
2024-09-07 16:00:00,Brechas - 115,34.431,35.472,18:45,2024-09-07,16:00:00
2024-09-07 17:00:00,Brechas - 115,33.822,35.472,18:45,2024-09-07,17:00:00
2024-09-07 18:00:00,Brechas - 115,31.827,35.472,18:45,2024-09-07,18:00:00
2024-09-07 19:00:00,Brechas - 115,34.508,35.472,18:45,2024-09-07,19:00:00
2024-09-07 20:00:00,Brechas - 115,34.758,35.472,18:45,2024-09-07,20:00:00
2024-09-07 21:00:00,Brechas - 115,34.193,35.472,18:45,2024-09-07,21:00:00
2024-09-07 22:00:00,Brechas - 115,33.365,35.472,18:45,2024-09-07,22:00:00
2024-09-07 23:00:00,Brechas - 115,31.835,35.472,18:45,2024-09-07,23:00:00
2024-09-08 00:00:00,Brechas - 115,32.264,35.472,18:45,2024-09-08,00:00:00
2024-09-08 01:00:00,Brechas - 115,30.954,37.098,19:15,2024-09-08,01:00:00
2024-09-08 02:00:00,Brechas - 115,28.937,37.098,19:15,2024-09-08,02:00:00
2024-09-08 03:00:00,Brechas - 115,27.313,37.098,19:15,2024-09-08,03:00:00
2024-09-08 04:00:00,Brechas - 115,26.619,37.098,19:15,2024-09-08,04:00:00
2024-09-08 05:00:00,Brechas - 115,26.245,37.098,19:15,2024-09-08,05:00:00
2024-09-08 06:00:00,Brechas - 115,26.205,37.098,19:15,2024-09-08,06:00:00
2024-09-08 07:00:00,Brechas - 115,24.401,37.098,19:15,2024-09-08,07:00:00
2024-09-08 08:00:00,Brechas - 115,23.706,37.098,19:15,2024-09-08,08:00:00
2024-09-08 09:00:00,Brechas - 115,22.942,37.098,19:15,2024-09-08,09:00:00
2024-09-08 10:00:00,Brechas - 115,25.795,37.098,19:15,2024-09-08,10:00:00
2024-09-08 11:00:00,Brechas - 115,30.077,37.098,19:15,2024-09-08,11:00:00
2024-09-08 12:00:00,Brechas - 115,34.125,37.098,19:15,2024-09-08,12:00:00
2024-09-08 13:00:00,Brechas - 115,35.328,37.098,19:15,2024-09-08,13:00:00
2024-09-08 14:00:00,Brechas - 115,36.134,37.098,19:15,2024-09-08,14:00:00
2024-09-08 15:00:00,Brechas - 115,36.401,37.098,19:15,2024-09-08,15:00:00
2024-09-08 16:00:00,Brechas - 115,32.776,37.098,19:15,2024-09-08,16:00:00
2024-09-08 17:00:00,Brechas - 115,32.735,37.098,19:15,2024-09-08,17:00:00
2024-09-08 18:00:00,Brechas - 115,32.352,37.098,19:15,2024-09-08,18:00:00
2024-09-08 19:00:00,Brechas - 115,35.159,37.098,19:15,2024-09-08,19:00:00
2024-09-08 20:00:00,Brechas - 115,35.963,37.098,19:15,2024-09-08,20:00:00
2024-09-08 21:00:00,Brechas - 115,35.179,37.098,19:15,2024-09-08,21:00:00
2024-09-08 22:00:00,Brechas - 115,36.147,37.098,19:15,2024-09-08,22:00:00
2024-09-08 23:00:00,Brechas - 115,35.492,37.098,19:15,2024-09-08,23:00:00
2024-09-09 00:00:00,Brechas - 115,32.257,37.098,19:15,2024-09-09,00:00:00
2024-09-09 01:00:00,Brechas - 115,29.386,43.626,16:00,2024-09-09,01:00:00
2024-09-09 02:00:00,Brechas - 115,28.073,43.626,16:00,2024-09-09,02:00:00
2024-09-09 03:00:00,Brechas - 115,27.864,43.626,16:00,2024-09-09,03:00:00
2024-09-09 04:00:00,Brechas - 115,27.376,43.626,16:00,2024-09-09,04:00:00
2024-09-09 05:00:00,Brechas - 115,26.608,43.626,16:00,2024-09-09,05:00:00
2024-09-09 06:00:00,Brechas - 115,26.559,43.626,16:00,2024-09-09,06:00:00
2024-09-09 07:00:00,Brechas - 115,25.757,43.626,16:00,2024-09-09,07:00:00
2024-09-09 08:00:00,Brechas - 115,27.524,43.626,16:00,2024-09-09,08:00:00
2024-09-09 09:00:00,Brechas - 115,30.661,43.626,16:00,2024-09-09,09:00:00
2024-09-09 10:00:00,Brechas - 115,35.15,43.626,16:00,2024-09-09,10:00:00
2024-09-09 11:00:00,Brechas - 115,38.922,43.626,16:00,2024-09-09,11:00:00
2024-09-09 12:00:00,Brechas - 115,40.144,43.626,16:00,2024-09-09,12:00:00
2024-09-09 13:00:00,Brechas - 115,39.819,43.626,16:00,2024-09-09,13:00:00
2024-09-09 14:00:00,Brechas - 115,41.247,43.626,16:00,2024-09-09,14:00:00
2024-09-09 15:00:00,Brechas - 115,42.781,43.626,16:00,2024-09-09,15:00:00
2024-09-09 16:00:00,Brechas - 115,43.344,43.626,16:00,2024-09-09,16:00:00
2024-09-09 17:00:00,Brechas - 115,41.542,43.626,16:00,2024-09-09,17:00:00
2024-09-09 18:00:00,Brechas - 115,39.426,43.626,16:00,2024-09-09,18:00:00
2024-09-09 19:00:00,Brechas - 115,41.331,43.626,16:00,2024-09-09,19:00:00
2024-09-09 20:00:00,Brechas - 115,42.107,43.626,16:00,2024-09-09,20:00:00
2024-09-09 21:00:00,Brechas - 115,41.645,43.626,16:00,2024-09-09,21:00:00
2024-09-09 22:00:00,Brechas - 115,38.823,43.626,16:00,2024-09-09,22:00:00
2024-09-09 23:00:00,Brechas - 115,37.837,43.626,16:00,2024-09-09,23:00:00
2024-09-10 00:00:00,Brechas - 115,37.432,43.626,16:00,2024-09-10,00:00:00
2024-09-10 01:00:00,Brechas - 115,35.313,109.142,15:15,2024-09-10,01:00:00
2024-09-10 02:00:00,Brechas - 115,33.206,109.142,15:15,2024-09-10,02:00:00
2024-09-10 03:00:00,Brechas - 115,31.466,109.142,15:15,2024-09-10,03:00:00
2024-09-10 04:00:00,Brechas - 115,30.941,109.142,15:15,2024-09-10,04:00:00
2024-09-10 05:00:00,Brechas - 115,30.92,109.142,15:15,2024-09-10,05:00:00
2024-09-10 06:00:00,Brechas - 115,31.829,109.142,15:15,2024-09-10,06:00:00
2024-09-10 07:00:00,Brechas - 115,31.104,109.142,15:15,2024-09-10,07:00:00
2024-09-10 08:00:00,Brechas - 115,30.739,109.142,15:15,2024-09-10,08:00:00
2024-09-10 09:00:00,Brechas - 115,35.35,109.142,15:15,2024-09-10,09:00:00
2024-09-10 10:00:00,Brechas - 115,39.951,109.142,15:15,2024-09-10,10:00:00
2024-09-10 11:00:00,Brechas - 115,41.647,109.142,15:15,2024-09-10,11:00:00
2024-09-10 12:00:00,Brechas - 115,42.993,109.142,15:15,2024-09-10,12:00:00
2024-09-10 13:00:00,Brechas - 115,43.331,109.142,15:15,2024-09-10,13:00:00
2024-09-10 14:00:00,Brechas - 115,47.768,109.142,15:15,2024-09-10,14:00:00
2024-09-10 15:00:00,Brechas - 115,99.853,109.142,15:15,2024-09-10,15:00:00
2024-09-10 16:00:00,Brechas - 115,108.796,109.142,15:15,2024-09-10,16:00:00
2024-09-10 17:00:00,Brechas - 115,82.109,109.142,15:15,2024-09-10,17:00:00
2024-09-10 18:00:00,Brechas - 115,40.009,109.142,15:15,2024-09-10,18:00:00
2024-09-10 19:00:00,Brechas - 115,42.371,109.142,15:15,2024-09-10,19:00:00
2024-09-10 20:00:00,Brechas - 115,42.443,109.142,15:15,2024-09-10,20:00:00
2024-09-10 21:00:00,Brechas - 115,42.512,109.142,15:15,2024-09-10,21:00:00
2024-09-10 22:00:00,Brechas - 115,42.022,109.142,15:15,2024-09-10,22:00:00
2024-09-10 23:00:00,Brechas - 115,40.846,109.142,15:15,2024-09-10,23:00:00
2024-09-11 00:00:00,Brechas - 115,39.829,109.142,15:15,2024-09-11,00:00:00
2024-09-11 01:00:00,Brechas - 115,37.85,45.454,15:15,2024-09-11,01:00:00
2024-09-11 02:00:00,Brechas - 115,35.605,45.454,15:15,2024-09-11,02:00:00
2024-09-11 03:00:00,Brechas - 115,34.169,45.454,15:15,2024-09-11,03:00:00
2024-09-11 04:00:00,Brechas - 115,33.376,45.454,15:15,2024-09-11,04:00:00
2024-09-11 05:00:00,Brechas - 115,33.64,45.454,15:15,2024-09-11,05:00:00
2024-09-11 06:00:00,Brechas - 115,34.143,45.454,15:15,2024-09-11,06:00:00
2024-09-11 07:00:00,Brechas - 115,31.98,45.454,15:15,2024-09-11,07:00:00
2024-09-11 08:00:00,Brechas - 115,33.026,45.454,15:15,2024-09-11,08:00:00
2024-09-11 09:00:00,Brechas - 115,37.044,45.454,15:15,2024-09-11,09:00:00
2024-09-11 10:00:00,Brechas - 115,39.031,45.454,15:15,2024-09-11,10:00:00
2024-09-11 11:00:00,Brechas - 115,40.35,45.454,15:15,2024-09-11,11:00:00
2024-09-11 12:00:00,Brechas - 115,41.281,45.454,15:15,2024-09-11,12:00:00
2024-09-11 13:00:00,Brechas - 115,39.896,45.454,15:15,2024-09-11,13:00:00
2024-09-11 14:00:00,Brechas - 115,42.327,45.454,15:15,2024-09-11,14:00:00
2024-09-11 15:00:00,Brechas - 115,44.204,45.454,15:15,2024-09-11,15:00:00
2024-09-11 16:00:00,Brechas - 115,45.056,45.454,15:15,2024-09-11,16:00:00
2024-09-11 17:00:00,Brechas - 115,42.179,45.454,15:15,2024-09-11,17:00:00
2024-09-11 18:00:00,Brechas - 115,39.784,45.454,15:15,2024-09-11,18:00:00
2024-09-11 19:00:00,Brechas - 115,42.456,45.454,15:15,2024-09-11,19:00:00
2024-09-11 20:00:00,Brechas - 115,44.261,45.454,15:15,2024-09-11,20:00:00
2024-09-11 21:00:00,Brechas - 115,44.297,45.454,15:15,2024-09-11,21:00:00
2024-09-11 22:00:00,Brechas - 115,44.261,45.454,15:15,2024-09-11,22:00:00
2024-09-11 23:00:00,Brechas - 115,42.025,45.454,15:15,2024-09-11,23:00:00
2024-09-12 00:00:00,Brechas - 115,40.633,45.454,15:15,2024-09-12,00:00:00
2024-09-12 01:00:00,Brechas - 115,39.334,39.694,00:45,2024-09-12,01:00:00
2024-09-12 02:00:00,Brechas - 115,37.837,39.694,00:45,2024-09-12,02:00:00
2024-09-12 03:00:00,Brechas - 115,36.98,39.694,00:45,2024-09-12,03:00:00
2024-09-12 04:00:00,Brechas - 115,33.422,39.694,00:45,2024-09-12,04:00:00
2024-09-12 05:00:00,Brechas - 115,30.465,39.694,00:45,2024-09-12,05:00:00
2024-09-12 06:00:00,Brechas - 115,29.469,39.694,00:45,2024-09-12,06:00:00
2024-09-12 07:00:00,Brechas - 115,26.931,39.694,00:45,2024-09-12,07:00:00
2024-09-12 08:00:00,Brechas - 115,26.153,39.694,00:45,2024-09-12,08:00:00
2024-09-12 09:00:00,Brechas - 115,28.552,39.694,00:45,2024-09-12,09:00:00
2024-09-12 10:00:00,Brechas - 115,29.628,39.694,00:45,2024-09-12,10:00:00
2024-09-12 11:00:00,Brechas - 115,30.631,39.694,00:45,2024-09-12,11:00:00
2024-09-12 12:00:00,Brechas - 115,31.377,39.694,00:45,2024-09-12,12:00:00
2024-09-12 13:00:00,Brechas - 115,30.359,39.694,00:45,2024-09-12,13:00:00
2024-09-12 14:00:00,Brechas - 115,32.092,39.694,00:45,2024-09-12,14:00:00
2024-09-12 15:00:00,Brechas - 115,34.62,39.694,00:45,2024-09-12,15:00:00
2024-09-12 16:00:00,Brechas - 115,36.166,39.694,00:45,2024-09-12,16:00:00
2024-09-12 17:00:00,Brechas - 115,35.711,39.694,00:45,2024-09-12,17:00:00
2024-09-12 18:00:00,Brechas - 115,34.062,39.694,00:45,2024-09-12,18:00:00
2024-09-12 19:00:00,Brechas - 115,36.761,39.694,00:45,2024-09-12,19:00:00
2024-09-12 20:00:00,Brechas - 115,36.735,39.694,00:45,2024-09-12,20:00:00
2024-09-12 21:00:00,Brechas - 115,35.811,39.694,00:45,2024-09-12,21:00:00
2024-09-12 22:00:00,Brechas - 115,33.143,39.694,00:45,2024-09-12,22:00:00
2024-09-12 23:00:00,Brechas - 115,30.856,39.694,00:45,2024-09-12,23:00:00
2024-09-13 00:00:00,Brechas - 115,29.772,39.694,00:45,2024-09-13,00:00:00
2024-09-13 01:00:00,Brechas - 115,31.926,44.884,15:30,2024-09-13,01:00:00
2024-09-13 02:00:00,Brechas - 115,28.689,44.884,15:30,2024-09-13,02:00:00
2024-09-13 03:00:00,Brechas - 115,27.34,44.884,15:30,2024-09-13,03:00:00
2024-09-13 04:00:00,Brechas - 115,26.877,44.884,15:30,2024-09-13,04:00:00
2024-09-13 05:00:00,Brechas - 115,27.042,44.884,15:30,2024-09-13,05:00:00
2024-09-13 06:00:00,Brechas - 115,27.53,44.884,15:30,2024-09-13,06:00:00
2024-09-13 07:00:00,Brechas - 115,26.09,44.884,15:30,2024-09-13,07:00:00
2024-09-13 08:00:00,Brechas - 115,26.456,44.884,15:30,2024-09-13,08:00:00
2024-09-13 09:00:00,Brechas - 115,29.369,44.884,15:30,2024-09-13,09:00:00
2024-09-13 10:00:00,Brechas - 115,31.166,44.884,15:30,2024-09-13,10:00:00
2024-09-13 11:00:00,Brechas - 115,32.769,44.884,15:30,2024-09-13,11:00:00
2024-09-13 12:00:00,Brechas - 115,36.142,44.884,15:30,2024-09-13,12:00:00
2024-09-13 13:00:00,Brechas - 115,39.843,44.884,15:30,2024-09-13,13:00:00
2024-09-13 14:00:00,Brechas - 115,42.196,44.884,15:30,2024-09-13,14:00:00
2024-09-13 15:00:00,Brechas - 115,43.986,44.884,15:30,2024-09-13,15:00:00
