Subestacion,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,TOTAL,MAXIMA (MW),HORA,Fecha
Valle Hermoso,46.443,42.193,40.163,39.338,39.018,39.373,36.918,36.393,39.905,42.835,44.985,46.348,46.633,46.075,45.363,45.325,45.718,51.368,78.038,103.993,85.39,65.773,57.488,49.58,1214.648,104.22,19:45,2024-09-01
Valle Hermoso,44.358,40.74,39.135,38.653,39.495,43.398,50.46,51.79,54.415,57.725,59.755,61.861,60.01,59.84,61.61,62.243,61.37,63.355,88.678,110.018,94.968,70.503,62.343,52.78,1429.499,110.17,19:45,2024-09-02
Valle Hermoso,47.488,43.858,42.17,41.66,42.408,45.628,51.345,52.788,56.01,59.213,60.3,61.29,59.118,60.035,62.998,64.225,63.505,65.875,95.935,112.893,94.543,73.455,64.04,54.943,1475.718,113.38,19:15,2024-09-03
Valle Hermoso,48.945,45.455,43.625,43.433,44.038,47.575,53.638,55.268,58.048,61.655,62.988,64.165,62.17,62.868,64.795,65.39,65.203,67.258,88.283,113.088,99.175,72.953,63.785,54.935,1508.73,113.65,19:15,2024-09-04
Valle Hermoso,48.963,45.203,43.358,42.903,43.5,47.028,53.875,55.158,57.903,60.79,61.95,62.203,59.74,60.698,62.718,63.053,62.685,64.535,91.258,112.558,97.168,72.685,63.278,53.993,1487.195,113.36,19:15,2024-09-05
Valle Hermoso,48.07,44.455,42.795,42.328,43.04,46.708,52.363,54.425,57.28,60.678,61.553,61.78,60.103,60.593,63.05,64.028,62.808,64.633,91.735,112.285,86.583,72.235,63.525,54.988,1472.035,112.91,19:15,2024-09-06
Valle Hermoso,49.195,45.453,43.533,42.913,43.263,46.473,47.72,49.065,53.53,57.208,58.32,59.133,58.01,57.965,58.413,57.678,56.71,59.925,86.46,108.438,89.268,69.368,61.428,53.115,1412.578,108.96,19:15,2024-09-07
Valle Hermoso,48.625,45.47,43.07,42.545,42.593,43.763,42.085,43.305,46.558,48.41,49.845,50.643,50.388,50.62,51.458,51.268,51.625,55.558,84.518,107.28,87.438,69.578,61.363,53.155,1321.155,107.48,19:15,2024-09-08
Valle Hermoso,47.925,43.763,42.018,41.438,41.973,45.485,50.998,53.145,55.773,59.16,61.475,62.938,61.573,61.548,64.7,67.983,68.47,71.77,101.008,119.833,100.073,78.14,68.445,58.95,1528.578,120.08,19:15,2024-09-09
Valle Hermoso,49.89,46.145,43.573,43.15,43.828,46.988,50.503,52.103,55.548,61.81,64.42,68.068,66.013,66.935,70.68,73.875,72.558,74.138,100.123,121.238,101.17,81.405,68.345,59.593,1582.093,121.72,19:30,2024-09-10
Valle Hermoso,51.588,45.278,42.433,41.663,42.298,46.21,50.683,53.858,58.09,65.12,67.028,70.763,69.655,70.435,72.613,70.48,68.693,71.245,93.513,119.008,103.54,80.578,72.015,62.153,1588.933,119.38,19:45,2024-09-11
Valle Hermoso,56.675,53.018,50.778,49.215,49.673,54.013,58.298,62.828,67.18,69.948,70.615,71.758,69.733,69.988,72.598,73.413,72.155,73.103,94.965,117.815,98.373,78.068,66.328,55.06,1655.59,119.3,19:00,2024-09-12
Valle Hermoso,49.17,46.458,44,42.865,43.633,47.105,51.448,57.863,62.948,68.11,72.76,73.85,71,72.825,73.133,73.74,71.993,73.083,98.435,120.008,99.095,80.44,73.665,63.328,1630.95,120.82,19:15,2024-09-13
Valle Hermoso,57.385,53.12,50.6,49.033,48.268,50.538,49.653,50.593,52.685,55.67,56.755,55.05,55.303,50.96,50.283,49.958,49.723,53.878,75.665,105.695,93.78,67.668,61.01,52.73,1395.998,106.2,19:15,2024-09-14
Valle Hermoso,47.975,44.415,42.9,41.283,40.838,41.82,40.925,41.223,44.435,44.115,43.615,44.738,45.188,45.598,45.725,46.883,46.98,50.655,81.323,105.148,91.493,63.325,57.523,47.53,1245.648,105.36,19:45,2024-09-15
Valle Hermoso,45.363,43.918,42.23,40.963,41.303,44.5,47.855,51.768,55.488,58.638,59.28,59.645,58.105,59.138,61.67,62.633,62.615,65.568,91.138,112.615,91.078,72.043,64.098,54.05,1445.695,112.91,19:30,2024-09-16
Valle Hermoso,48.61,45.018,43.188,42.605,43.293,46.403,50.993,53.525,55.958,60.373,61.998,62.98,60.995,61.878,64.668,64.395,64.015,66.258,84.858,113.273,97.678,73.985,65.848,55.345,1488.133,113.36,19:15,2024-09-17
Valle Hermoso,49.473,45.875,44.09,43.398,44.51,48.543,53.483,55.21,58.61,61.54,63.36,64.43,62.335,62.27,67.533,72.168,71.685,73.818,98.098,120.463,104.043,79.798,72.21,59.248,1576.185,120.97,19:30,2024-09-18
Valle Hermoso,48.778,44.745,43.003,42.228,42.99,46.998,51.84,54.25,57.808,61.285,65.06,67.048,65.215,67.87,71.895,72.71,71.378,72.485,100.717,131.553,102.338,81.82,74.968,63.218,1602.195,138.637,19:00,2024-09-19
Valle Hermoso,55.33,50.583,43.793,42.65,43.22,46.41,50.438,56.835,63.123,67.225,68.885,70.043,68.388,69.465,71.228,71.265,71.18,73.805,102.41,120.145,95.658,79.045,70.295,58.713,1610.128,120.51,19:15,2024-09-20
Valle Hermoso,55.053,48.443,45.64,45.003,45.505,48.533,49.54,52.1,56.345,63.553,65.36,66.103,65.578,65.403,66.16,66.765,66.223,69.928,91.992,116.26,95.958,77.313,72.283,62.723,1557.757,116.932,19:30,2024-09-21
Valle Hermoso,53.838,45.78,43.215,42.068,41.638,42.36,40.068,50.613,58.06,60.033,60.615,61.833,61.643,61.058,60.778,61.7,63.253,64.16,87.622,113.868,94.083,77.45,71.345,61.6,1478.674,114.353,19:45,2024-09-22
Valle Hermoso,52.275,44.378,42.535,42.215,42.475,45.333,49.813,52.895,55.713,60.52,62.718,69.363,67.18,69.475,74.488,76.995,76.43,77.065,95.72,120.355,97.793,81.535,74.243,63.453,1594.96,120.62,19:30,2024-09-23
Valle Hermoso,56.29,52.368,49.553,44.283,42.805,46.223,50.445,53.428,56.433,60.175,61.785,63.685,62.158,66.523,68.968,72.115,71.25,70.128,99.703,121.13,97.87,81.665,73.82,63.378,1586.175,121.57,19:30,2024-09-24
Valle Hermoso,57.98,53.728,49.06,46.813,45.98,50.485,56.033,58.985,62.978,66.345,67.323,68.7,66.155,68.578,73.183,73.738,72.748,73.723,108.329,128.31,97.47,82.845,74.143,63.853,1667.478,137.848,19:15,2024-09-25
Valle Hermoso,52.935,46.555,43.5,42.69,43.54,47.898,53.945,58.55,61.115,64.815,65.978,67.49,64.463,64.285,66.593,67.02,66.13,67.363,101.11,127.453,94.418,73.1,65.115,54.24,1560.298,136.05,19:30,2024-09-26
Valle Hermoso,49.168,46.51,43.935,43.1,44.038,48.055,52.805,55.3,57.935,61.76,62.848,63.85,61.158,62.39,65.708,66.1,65.743,68,92.59,114.615,98.78,75.265,66.573,53.78,1520.003,115.44,19:00,2024-09-27
Valle Hermoso,48.56,45.008,43.328,42.913,43.9,46.803,46.96,50.863,55.72,59.013,59.75,60.895,60.115,59.598,59.168,58.708,57.893,60.15,81.003,106.763,90.013,68.823,62.873,53.318,1422.13,107.03,19:15,2024-09-28
Valle Hermoso,47.64,44.213,42.368,41.383,41.445,42.235,38.84,41.81,41.128,42.453,43.89,45.05,45.97,45.68,47.375,50.348,51.368,54.215,76.663,104.845,89.043,68.925,62.223,52.37,1261.475,105.04,19:45,2024-09-29
Valle Hermoso,47.53,44.04,42.643,41.853,42.5,46.415,51.165,53.785,56.545,60.74,67.818,70.033,69.805,71.035,74.52,75.058,74.685,75.48,90.543,115.708,102.128,76.81,70.003,58.935,1579.773,115.92,19:45,2024-09-30
Valle Hermoso,52,46.705,42.398,41.815,42.658,45.99,49.893,52.243,56.675,60.558,62.058,62.44,62.085,65.088,71.498,74.08,72.975,74.025,97.673,120.965,103.883,78.45,71,58.705,1565.855,121.72,19:15,2024-10-01
Valle Hermoso,53.845,50.55,47.055,44.283,44.988,49.09,53.665,56.14,60.318,66.935,68.49,72.675,70.753,72.38,73.823,75.838,75.205,77.305,109.761,130.358,102.655,80.393,70.39,60.27,1667.161,138.717,19:30,2024-10-02
Valle Hermoso,52.855,46.763,43.583,42.343,42.983,47.078,51.83,53.823,57.14,60.993,62.038,63.028,60.7,61.76,64.51,67.305,68.9,68.743,103.823,122.428,96.888,73.88,64.578,55.643,1533.608,133.88,19:15,2024-10-03
Valle Hermoso,48.735,44.538,42.968,42.055,42.733,46.678,50.418,53.08,56.388,59.81,61.44,61.493,59.485,63.753,68.333,69.168,67.465,67.635,87.728,115.21,97.908,70.843,63.633,52.838,1494.328,115.61,19:15,2024-10-04
Valle Hermoso,47.105,43.608,41.735,40.608,41.42,43.69,43.368,47.613,52.08,55.658,57.403,58.2,56.858,56.61,57.38,59.065,60.743,63.73,85.12,111.928,95.438,69.598,62.603,53.943,1405.498,112.42,19:15,2024-10-05
Valle Hermoso,48.945,45.165,42.878,41.605,41.88,43.09,40.02,42.363,42.788,45.065,46.075,47.283,47.37,47.423,49.26,51.593,51.778,55.75,77.465,105.645,96.905,69.73,61.67,52.978,1294.72,105.82,19:15,2024-10-06
Valle Hermoso,47.828,44.448,42.713,41.665,42.328,45.615,50.23,52.425,55.535,59.063,60.43,63.048,61.418,62.183,64.225,64.533,62.808,64.203,83.448,110.648,96.81,71.455,62.268,53.25,1462.57,110.92,19:30,2024-10-07
Valle Hermoso,47.558,44.263,42.523,41.178,42.26,45.72,49.19,52.168,56.998,60.218,61.413,62.998,60.633,61.515,65.258,68.813,68.163,69.773,92.55,112.548,94.69,72.833,63.023,53.355,1489.633,115.08,19:00,2024-10-08
Valle Hermoso,48.423,44.59,42.343,41.715,42.768,46.345,50.615,53.175,56.543,60.115,61.225,62.623,60.598,61.135,63.895,64.48,63.94,65.68,80.965,111.378,103.628,68.388,58.368,48.8,1461.73,111.46,19:15,2024-10-09
Valle Hermoso,44.428,44.128,41.915,41.068,42.04,45.608,50.38,52.805,56.268,59.535,61.443,62.648,60.94,61.47,64.668,65.165,63.538,65.45,91.243,122.97,103.63,72.548,63.7,54.043,1491.625,133.28,19:15,2024-10-10
Valle Hermoso,49.003,45.555,43.22,42.175,43.59,47.058,51.13,54.028,57.078,60.483,61.473,63.013,60.863,61.95,65.155,65.505,64.838,66.438,86.008,112.365,97.605,73.813,65.09,56.56,1493.99,112.81,19:30,2024-10-11
Valle Hermoso,51.14,46.993,44.563,43.82,44.038,46.463,45.698,50.775,55.43,59.018,60.31,61.285,65.755,66.118,65.905,65.268,64.333,67.748,94.258,114.845,99.925,76.533,69.303,60.403,1519.92,115.17,19:15,2024-10-12
Valle Hermoso,55.473,52.183,50.513,49.47,47.548,46.693,40.01,43.85,46.285,49.585,54.305,55.675,57.188,57.668,58.235,58.7,59.203,64.203,86.222,112.053,99.563,76.425,69.653,60.075,1450.772,112.31,19:45,2024-10-13
Valle Hermoso,54.765,51.598,48.628,46.973,47.418,50.96,57.238,61.503,64.68,68.14,69.338,71.77,69.363,69.548,71.348,72.15,71.23,73.643,93.365,118.575,105.723,78.223,63.89,52.583,1632.645,119.08,19:30,2024-10-14
Valle Hermoso,47.475,45.353,42.835,42.16,43.173,46.238,50.7,53.88,58.39,61.565,62.928,64.87,63.44,64.47,66.77,69.125,68.798,70.613,87.018,109.628,97.39,71.983,63.628,53.535,1505.96,110.23,19:15,2024-10-15
Valle Hermoso,48.308,45.493,44.178,44,45.268,48.625,53.313,55.138,58.01,60.448,62.33,63.378,59,59.25,61.628,62.17,61.618,63.785,95.473,121.973,96.435,71.883,63.155,53.765,1498.618,131.47,19:30,2024-10-16
Valle Hermoso,48.505,44.61,42.7,41.623,43.058,47.203,52.465,56.08,58.998,61.67,62.558,64.18,61.585,62.285,64.575,65.113,64.273,66.065,86.595,127.693,98.813,72.903,65.143,54.543,1513.23,133.51,19:30,2024-10-17
Valle Hermoso,50.21,47.28,45.578,44.855,45.93,48.673,53.673,56.628,60.148,62.88,64.385,65.438,62.96,62.698,63.25,63.095,62.845,65.553,81.195,111.183,100.958,72.975,65.385,55.365,1513.135,111.54,19:30,2024-10-18
Valle Hermoso,49.613,46.07,44.075,42.955,43.578,45.848,45.43,49.71,54.148,57.285,58.5,59.083,58.41,58.215,57.58,57.4,57.133,60.678,80.938,107.443,98.818,70.558,64.755,54.395,1422.613,107.91,19:30,2024-10-19
Valle Hermoso,48.955,45.57,43.378,42.578,42.28,42.008,39.655,43.263,46.223,48.025,50.063,50.993,51.08,51.078,51.76,52.208,52.508,56.208,75.003,104.778,93.608,70.188,63.88,53.568,1318.85,104.99,19:15,2024-10-20
Valle Hermoso,48.328,44.978,43.123,42.393,42.545,45.138,50.223,53.1,56.723,60.57,62.423,64.128,63.385,64,66.95,67.363,65.61,64.893,87.248,112.003,95.4,74.373,66.653,56.318,1497.86,112.46,19:30,2024-10-21
Valle Hermoso,49.235,45.48,43.508,42.743,43.315,46.378,51.093,54.503,57.17,60.065,61.593,62.735,60.51,61.765,67.66,70.493,70.193,69.888,88.08,112.945,100.47,72.415,65.585,54.385,1512.203,113.83,19:15,2024-10-22
Valle Hermoso,47.618,44.408,42.248,42.058,43.043,45.478,50.94,53.785,57.123,60.218,61.338,62.703,60.453,61.978,67.818,68.838,67.01,66.518,92.988,133.135,101.463,74.973,66.36,54.543,1527.028,134.52,19:30,2024-10-23
Valle Hermoso,47.423,44,42.158,41.573,41.915,44.123,49.253,52.283,55.93,59.103,73.607,75.793,71.337,71.775,66.132,64.033,62.993,62.623,88.203,133.735,108.01,77.045,69.95,55.5,1558.492,136.05,19:30,2024-10-24
Valle Hermoso,49.7,46.373,44.055,43.625,44.338,46.668,51.32,53.758,56.733,60,62.303,67.145,65.3,66.08,68.35,68.365,67.023,65.28,86.42,113.925,95.928,76.1,66.32,55.673,1520.778,114.42,19:30,2024-10-25
Valle Hermoso,49.643,45.795,43.555,42.96,44.043,45.525,46.03,48.18,51.413,54.255,55.403,55.698,54.455,53.183,52.333,52.333,52.225,54.62,78.233,102.12,89.46,64.523,58.965,50.23,1345.175,102.34,19:30,2024-10-26
Valle Hermoso,45.26,42.458,40.893,39.735,39.763,40.623,37.598,39.84,42.87,45.475,46.378,47.345,47.563,47.903,47.748,47.713,47.858,51.03,63.408,82.035,77.26,65.175,59.068,48.713,1193.705,86.29,20:30,2024-10-27
Valle Hermoso,44.098,41.4,39.835,39.425,39.998,42.038,47.568,49.725,52.16,55.315,57.368,58.895,57.558,58.505,60.305,60.75,59.278,60.973,78.325,105.858,89.96,68.818,62.08,52.615,1382.845,106.17,19:30,2024-10-28
Valle Hermoso,45.83,42.568,40.623,39.783,40.173,43.195,47.515,49.598,53.095,57.038,58.41,59.27,57.283,59.175,65.508,68.313,69.038,69.575,86.53,108.6,92.923,67.08,60.805,48.998,1430.92,110.91,19:15,2024-10-29
Valle Hermoso,43.153,40.385,38.563,38.135,38.903,41.123,46.43,49.385,52.04,55.14,56.958,58.48,56.975,57.39,58.858,59.323,57.853,57.205,89.318,115.198,93.768,68.07,61.893,51.235,1385.775,126.86,19:15,2024-10-30
Valle Hermoso,44.48,40.458,38.878,38.928,39.925,41.715,47.515,49.988,53.218,56.37,57.23,58.665,56.87,57.323,59.078,60.253,59.458,62.23,80.883,121.688,86.728,67.883,62.383,53.435,1395.575,128.06,19:30,2024-10-31
Valle Hermoso,49.96,46.94,44.33,43.453,44.17,45.753,49.14,52.283,55.77,58.265,55.398,53.69,51.963,52.323,53.313,54.005,53.653,55.49,71.103,105.705,80.273,62.82,57.278,47.713,1344.785,105.83,19:30,2024-11-01
Valle Hermoso,46.128,43.385,41.315,40.653,40.635,40.633,37.845,41.348,44.838,48.333,50.033,50.913,50.255,50.118,50.148,49.74,49.425,53.205,69.543,101.713,92.175,66.23,60.025,51.44,1270.07,101.94,20:15,2024-11-02
Valle Hermoso,46.65,43.378,41.318,40.058,40.028,39.878,36.953,40.233,43.358,45.898,47.29,48.12,48.675,48.65,49.078,49.293,49.858,53.988,76.21,109.683,94.243,72.883,65.068,54.503,1285.285,110.14,19:30,2024-11-03
Valle Hermoso,46.7,40.873,39.443,38.898,39.91,41.433,46.96,49.205,52.525,55.888,57.045,58.915,58.02,59.448,63.903,63.873,62.023,64.1,78.643,109.388,94.758,70.935,61.153,50.678,1404.71,109.78,19:30,2024-11-04
Valle Hermoso,45.195,41.998,40.338,39.728,40.295,43.163,46.778,49.113,52.243,55.53,57.145,58.455,56.53,58.218,64.125,67.238,65.798,64.828,75.058,107.808,95.153,67.345,60.263,49.543,1401.88,108.23,19:30,2024-11-05
Valle Hermoso,44.63,41.323,40.143,39.17,39.87,42.895,47.418,49.785,51.533,54.123,55.39,56.688,55.625,56.248,58.223,59.35,61.248,61.88,85.508,126.5,93.858,73.253,65.108,55.21,1414.973,129.17,19:30,2024-11-06
Valle Hermoso,49.565,46.39,44.79,44.103,44.65,47.038,51.9,45.298,44.628,47.188,48.893,50.49,48.83,48.875,51.153,51.225,51.185,54.03,87.355,124.785,95.25,70.49,62.218,52.323,1362.648,128.73,19:30,2024-11-07
Valle Hermoso,45.053,41.648,39.948,39.31,39.773,42.638,47.258,49.568,52.035,55.195,56.69,57.59,56.113,57.925,61.085,61.64,60.795,61.66,76.225,108.423,98.1,69.87,62.608,52.603,1393.748,108.64,19:30,2024-11-08
Valle Hermoso,48.393,45.343,43.163,42.423,43.2,44.625,44.888,49.113,53.625,57.118,58.293,61.435,62.623,62.06,60.99,60.775,60.665,63.73,79.323,110.293,90.888,71.97,64.173,52.71,1431.813,110.63,19:30,2024-11-09
Valle Hermoso,47.303,44.115,41.738,40.85,40.788,40.25,39.698,43.238,46.063,48.228,49.278,49.753,50.258,50.02,50.463,51,51.278,54.423,68.488,102.655,80.03,66.753,61.57,53.828,1272.06,103.18,20:00,2024-11-10
Valle Hermoso,46.99,43.73,41.8,40.695,41.108,42.75,48.47,50.753,53.918,58.225,59.908,61.528,57.808,58.988,61.558,61.605,60.368,62.9,75.925,110.665,95.1,72.65,64.228,54.523,1426.188,111.05,19:45,2024-11-11
Valle Hermoso,48.75,44.94,42.58,42.045,43.028,45.095,49.273,52.543,55.855,59.035,60.463,61.575,59.74,60.12,62.83,63.648,62.785,64.358,85.44,111.52,95.038,72.24,65.283,53.953,1462.133,111.99,19:30,2024-11-12
Valle Hermoso,47.363,43.288,41.06,40.358,41.383,44.828,49.535,51.58,54.505,56.305,56.54,57.928,56.345,57.19,59.833,61.305,61.008,61.153,85.018,126.16,98.073,70.31,60.903,51.925,1433.89,131.94,19:30,2024-11-13
Valle Hermoso,46.628,44.073,42.478,41.785,42.343,44.14,50.245,53.325,56.535,59.528,60.35,61.303,60.003,61.145,64.148,64.975,63.363,61.538,85.703,126.18,97.615,71.06,62.828,53.03,1474.315,132.13,19:30,2024-11-14
Valle Hermoso,47.23,44.195,42.38,41.435,42.225,44.353,49.433,52.808,56.775,60.11,60.88,62.66,60.71,61.818,64.335,65.26,63.883,64.64,81.78,110.793,94.255,71.473,64.273,54.365,1462.065,111.12,19:30,2024-11-15
Valle Hermoso,48.815,45.333,43.305,42.908,43.073,44.013,44.8,50.505,55.323,58.485,59.533,60.345,59.77,59.203,58.73,58.1,57.013,60.423,80.225,107.99,87.765,68.33,62.153,53.123,1409.258,108.31,19:30,2024-11-16
Valle Hermoso,48.438,45.655,43.345,42.47,42.56,41.47,34.003,40.708,47.265,48.963,50.49,52.068,51.713,51.683,51.998,52.29,52.21,54.235,75.865,105.515,97.868,68.888,61.585,52.178,1313.458,105.94,20:00,2024-11-17
Valle Hermoso,47.2,43.705,42.163,41.625,41.955,42.97,45.97,48.915,52.163,55.798,57.825,59.215,58.02,57.91,59.833,59.883,58.253,58.88,81.293,105.348,84.348,66.453,58.685,50.248,1378.653,105.61,19:15,2024-11-18
Valle Hermoso,47.205,44.663,42.795,41.83,42.635,45.353,48.843,52.095,55.54,59.035,60.28,60.925,58.435,58.18,60.26,61.328,59.743,61.985,80.905,106.8,89.833,69.668,61.915,52.998,1423.245,107.05,19:45,2024-11-19
Valle Hermoso,44.508,41.293,39.618,39.105,39.825,41.695,47.108,49.925,53.25,55.98,56.698,57.305,52.8,53.515,55.82,55.663,54.155,56.923,90.68,119.648,87.805,66.595,59.82,49.848,1369.578,128.49,19:30,2024-11-20
Valle Hermoso,45.758,42.353,40.305,39.643,40.375,42.505,47.195,50.423,53.375,55.92,56.703,57.893,55.953,56.68,58.845,59.065,60.563,60.963,86.488,121.093,85.195,65.988,59.658,49.13,1392.063,128.05,19:30,2024-11-21
Valle Hermoso,44.323,41.608,40.038,39.4,39.805,41.638,45.048,48.963,51.89,54.983,55.793,56.46,54.668,55.078,56.078,56.423,57.463,58.503,79.455,104.165,90.368,66.098,60.073,50.745,1349.058,104.32,19:30,2024-11-22
Valle Hermoso,44.15,40.51,38.718,38.098,38.465,40.2,40.548,44.748,48.85,52.003,52.975,53.048,52.43,52.16,51.803,51.118,53.36,56.293,71.163,101.505,98.395,61.185,54.883,46.593,1283.195,101.8,19:30,2024-11-23
Valle Hermoso,43.763,40.975,39.18,38.255,38.34,37.798,36.095,39.26,41.808,43.363,45.223,46.34,46.305,46.8,46.853,47.555,51.128,52.01,66.548,99.393,87.783,61.945,56.133,46.87,1199.718,100.06,20:15,2024-11-24
Valle Hermoso,42.113,39.003,37.425,36.24,36.67,38.043,44.773,47.858,51.46,54.84,54.665,54.678,52.793,53.518,55.88,56.548,57.9,57.423,71.005,107.398,95.038,64.3,57.33,47.01,1313.905,107.89,19:30,2024-11-25
Valle Hermoso,41.743,38.588,36.263,35.29,36.035,39.243,44.888,47.39,50.515,52.785,53.78,54.99,52.878,54.233,56.345,57.008,58.728,57.98,76.355,108.818,103.32,66.058,58.695,47.67,1329.593,109.33,19:45,2024-11-26
Valle Hermoso,42.658,39.86,38.08,37.483,38.085,40.293,44.663,48.535,51.793,54.908,55.57,56.893,54.848,55.17,57.318,57.32,59.36,58.635,79.695,123.408,98.288,66.373,59.18,49.383,1367.793,129.44,19:30,2024-11-27
Valle Hermoso,43.773,40.585,38.48,37.72,38.398,41.303,46.6,50.398,53.608,55.7,54.733,54.098,52.053,53.113,56.048,57.838,60.458,57.795,72.918,124.235,98.39,65.255,58.728,48.11,1360.33,128.7,19:45,2024-11-28
Valle Hermoso,42.46,39.71,37.873,36.885,37.338,39.38,43.913,47.905,51.335,53.95,54.84,55.395,52.23,52.84,56.01,59.753,61.158,59.548,70.863,108.585,93.618,66.963,60.185,51.253,1333.985,109.33,19:45,2024-11-29
Valle Hermoso,48.125,45.058,42.825,42.075,43.155,44.683,44.743,49.338,53.483,56.798,57.683,59.12,58.385,57.48,57.84,57.785,60.433,60.778,66.848,84.923,76.505,65.835,60.903,51.588,1346.383,85.47,19:45,2024-11-30
Valle Hermoso,46.223,42.245,39.863,38.815,38.318,37.433,34.143,36.51,39.12,41.025,43.115,44.66,44.78,44.72,46.99,48.448,48.305,48.36,65.69,102.888,87.603,63.458,56.415,47.418,1186.54,103.66,20:15,2024-12-01
Valle Hermoso,45.008,42.803,40.775,40.15,40.603,42.465,47.105,50.695,55.033,59.493,57.865,58.215,55.918,55.92,56.948,57.198,57.023,57.658,75.625,105.108,86.425,64.385,57.675,49.143,1359.23,105.42,19:30,2024-12-02
Valle Hermoso,43.088,39.543,37.955,37.423,38.553,41.275,45.73,50.113,52.918,55.55,55.755,53.765,52.398,53.508,59.61,60.29,59.065,57.523,71.68,106.76,79,63.785,58.143,48.513,1321.938,107.31,19:30,2024-12-03
Valle Hermoso,42.833,38.47,36.323,35.873,36.728,38.825,43.393,47.633,51.358,54.75,56.318,56.915,54.945,56.433,57.993,58.695,59.163,58.895,88.313,122.623,74.193,65.565,58.375,47.97,1342.575,128.66,19:30,2024-12-04
Valle Hermoso,43.088,39.435,37.403,36.65,37.535,39.295,43.71,48.093,51.59,54.933,56.005,58.16,54.86,55.413,57.915,58.245,59.38,59.718,76.26,108.805,91.063,66.24,59.488,49.678,1342.958,109.59,19:45,2024-12-05
Valle Hermoso,45.008,40.34,37.253,36.793,37.675,39.635,43.303,48.063,52.093,55.608,57.295,58.47,57.308,59.073,60.228,60.453,60.77,60.23,62.968,107.398,104.1,66.505,58.048,50.233,1358.843,108.58,20:00,2024-12-06
Valle Hermoso,43.935,39.395,37.19,36.405,36.905,38.12,37.753,41.208,45.468,48.99,50.713,51.105,50.308,49.113,48.915,49.25,49.958,51.873,63.728,102.258,96.838,61.305,54.993,46.44,1232.16,103.01,19:45,2024-12-07
Valle Hermoso,40.965,30.215,22.03,21.315,21.288,21.03,19.683,29.243,42.47,45.23,46.668,47.975,48.003,47.025,46.723,46.413,49.1,50.588,67.58,99.425,90.848,60.343,53.43,45.973,1093.558,100.49,20:00,2024-12-08
Valle Hermoso,40.675,37.225,35.363,34.528,34.92,35.88,37.91,43.675,49.085,54.25,56.128,57.515,55.695,56.955,59.24,58.945,58.668,59,63.623,106.53,99.538,65.485,57.87,47.078,1305.778,107.75,19:45,2024-12-09
Valle Hermoso,41.16,37.61,35.828,34.873,35.488,38.943,43.778,48.17,52.638,55.135,55.705,55.52,52.643,53.025,55.685,56.763,57.078,58.08,64.04,105.69,99.26,64.758,57.675,48.528,1308.068,107.08,20:00,2024-12-10
Valle Hermoso,42.798,39.505,37.408,36.37,36.615,37.89,40.525,45.695,50.1,53.343,54.578,55.88,54.218,55.605,57.653,61.928,61.595,61.905,69.205,114.92,104.775,73.398,66.483,54.03,1366.418,117.36,19:45,2024-12-11
Valle Hermoso,44.105,40.285,38.29,37.023,37.13,38.55,40.39,46.085,51.385,54.58,55.255,56.15,54.55,55.623,57.035,56.728,55.525,57.473,67.295,106.405,94.828,64.775,58.508,49.298,1317.268,107.44,19:45,2024-12-12
Valle Hermoso,43.725,40.553,37.935,37.003,37.068,37.995,39.905,45.825,51.355,55.053,56.92,58.483,57.37,57.973,60.103,60.575,60.195,61.76,67.83,105.568,97.883,64.523,56.953,50.25,1342.798,106.5,19:45,2024-12-13
Valle Hermoso,45.118,41.3,38.733,37.503,37.35,39.113,39.198,43.138,47.725,50.54,52.683,54.18,53.94,52.803,52.513,52.92,51.855,55.17,61.495,103.643,99.283,64.24,56.89,48.445,1279.773,104.96,20:00,2024-12-14
Valle Hermoso,41.63,37.395,35.445,34.653,34.52,33.243,29.498,32.338,32.725,37.61,39.173,40.145,40.598,40.875,40.533,39.798,39.82,46.25,57.543,97.408,87.95,59.328,53.885,44.383,1076.74,98.9,20:15,2024-12-15
Valle Hermoso,39.543,36.218,34.148,33.45,34.355,36.498,39.095,45.413,50.873,54.36,56.58,57.603,56.475,57.563,59.193,59.978,60.968,62.688,68.78,106.62,98.87,64.995,58.688,48.383,1321.33,107.58,19:45,2024-12-16
Valle Hermoso,42.695,38.245,36.375,35.533,36.135,38.065,39.86,45.535,51.555,54.66,56.583,57.63,55.288,59.055,61.813,63.055,64.21,63.125,72.188,108.138,98.125,66.453,60.435,49.695,1354.448,109.5,19:45,2024-12-17
Valle Hermoso,42.9,38.613,36.068,35.113,35.88,37.553,39.565,45.45,50.808,53.918,55.363,56.638,55.453,57.855,60.143,60.288,62.005,60.418,68.805,106.98,97.583,66.558,60.575,50.343,1334.868,108.75,20:15,2024-12-18
Valle Hermoso,44.53,40.48,37.918,36.93,37.095,39.118,40.803,46.478,51.753,55.43,57.035,60.565,58.845,59.643,61.658,61.248,61.103,58.735,69.958,107.025,100.078,65.47,59.573,51.305,1362.77,108.25,19:45,2024-12-19
Valle Hermoso,42.245,38.163,35.618,34.87,35.948,38.695,41.908,44.525,48.893,52.905,56.94,58.215,55.815,56.655,59.143,58.503,59.405,57.758,63.585,105.703,99.313,65.713,60.158,51.303,1321.973,107.09,20:00,2024-12-20
